Depth,Taxa
16.5,Fragmented hc
16.5,Particles
16.5,Fragmented hc
16.5,Psectrocladius spp
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Multiple
16.5,Fragmented hc
16.5,Heterotrissocladius marcidus
16.5,Heterotrissocladius marcidus
16.5,Particles
16.5,Micropsectra radialis
16.5,Psectrocladius spp
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Psectrocladius spp
16.5,Fragmented hc
16.5,Tanypodinae
16.5,Fragmented hc
16.5,Tanypodinae
16.5,Pentaneurini spp
16.5,Corynoneura spp
16.5,Psectrocladius spp
16.5,Fragmented hc
16.5,Background
16.5,Fragmented hc
16.5,Corynoneura spp
16.5,Psectrocladius spp
16.5,Fragmented hc
16.5,Background
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Background
16.5,Fragmented hc
16.5,Blurry specimens
16.5,Particles
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Particles
16.5,Background
16.5,Fragmented hc
16.5,Corynoneura spp
16.5,Tanypodinae
16.5,Fragmented hc
16.5,Particles
16.5,Fragmented hc
16.5,Background
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Orthocladiinae Diamesinae
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Micropsectra radialis
16.5,Tanytarsus lugens
16.5,Particles
16.5,Psectrocladius spp
16.5,Fragmented hc
16.5,Particles
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Multiple
16.5,Multiple
16.5,Background
16.5,Fragmented hc
16.5,Blurry specimens
16.5,Fragmented hc
16.5,Diatom
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Multiple
16.5,Particles
16.5,Microtendipes pedellus
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Orthocladiinae Diamesinae
16.5,Pollen
16.5,Heterotrissocladius marcidus
16.5,Fragmented hc
16.5,Chaoborus mandible
16.5,Fragmented hc
16.5,Multiple
16.5,Background
16.5,Multiple
16.5,Fragmented hc
16.5,Mandible
16.5,Mandible
16.5,Fragmented hc
16.5,Micropsectra radialis
16.5,Multiple
16.5,Background
16.5,Multiple
16.5,Background
16.5,Fragmented hc
16.5,Heterotrissocladius marcidus
16.5,Fragmented hc
16.5,Blurry specimens
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Particles
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Corynoneura spp
16.5,Particles
16.5,Fragmented hc
16.5,Mandible
16.5,Particles
16.5,Fragmented hc
16.5,Particles
16.5,Corynoneura spp
16.5,Background
16.5,Blurry specimens
16.5,Blurry specimens
16.5,Background
16.5,Blurry specimens
16.5,Micropsectra insignilobus
16.5,Background
16.5,Background
16.5,Blurry specimens
16.5,Background
16.5,Blurry specimens
16.5,Background
16.5,Blurry specimens
16.5,Background
16.5,Background
16.5,Background
16.5,Blurry specimens
