Taxa,Depth below sediment water interface (cm)
Acari spp,1052.5
Chironomus spp,1052.5
Chironomus spp,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Acari spp,1052.5
Acari spp,1052.5
Microtendipes,1052.5
Microtendipes,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Mentum,1052.5
Mentum,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Pseudochironomus spp,1052.5
Pseudochironomus spp,1052.5
Mentum,1052.5
Mentum,1052.5
Acari spp,1052.5
Acari spp,1052.5
Chironomus spp,1052.5
Chironomus spp,1052.5
Mentum,1052.5
Mentum,1052.5
unsure,1052.5
unsure,1052.5
Background,1052.5
Background,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Micropsectra insignilobus,1052.5
Micropsectra insignilobus,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Diatom,1052.5
Diatom,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Micropsectra insignilobus,1052.5
Micropsectra insignilobus,1052.5
Psectrocladius spp,1052.5
Psectrocladius spp,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Tanytarsus lugens,1052.5
Tanytarsus lugens,1052.5
Microtendipes,1052.5
Microtendipes,1052.5
unsure,1052.5
unsure,1052.5
Micropsectra insignilobus,1052.5
Micropsectra insignilobus,1052.5
Acari spp,1052.5
Acari spp,1052.5
Paratanytarsus austriacus,1052.5
Paratanytarsus austriacus,1052.5
Mentum,1052.5
Mentum,1052.5
unsure,1052.5
unsure,1052.5
Tanytarsus lugens,1053.5
Acari spp,1053.5
Tanytarsus spp,1055.5
Multiple,1055.5
Multiple,1055.5
Tanytarsus lugens,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
unsure,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Chironomus spp,1055.5
Fragmented hc,1055.5
Blurry specimens,1055.5
Acari spp,1055.5
Microtendipes,1055.5
Micropsectra insignilobus,1055.5
Acari spp,1055.5
Blurry specimens,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Blurry specimens,1055.5
Fragmented hc,1055.5
Blurry specimens,1055.5
Microtendipes,1055.5
Blurry specimens,1055.5
Limnophyes type,1055.5
Background,1055.5
Blurry specimens,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Microtendipes,1055.5
Micropsectra insignilobus,1055.5
Blurry specimens,1055.5
Blurry specimens,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Microtendipes,1055.5
Blurry specimens,1055.5
Multiple,1055.5
Microtendipes,1055.5
Blurry specimens,1055.5
Multiple,1055.5
Microtendipes,1055.5
Blurry specimens,1055.5
